index_1,index_2,weight
13,2,64.11
13,3,23.07
13,4,102.75
13,5,29.15
13,6,32.24
13,7,71.19
13,8,56.24
13,9,23.75
13,10,60.97
13,11,70.97
13,12,61.61
13,14,59.25
13,15,23.56
13,16,55.35
13,17,56.45
13,18,12.21
13,19,59.56
14,0,20.78
14,1,78.46
14,2,78.42
14,3,84.68
14,4,83.62
14,5,45.93
14,6,60.34
14,7,67.49
14,8,20.01
14,9,58.05
14,10,115.26
14,11,37.26
14,12,95.51
14,13,64.62
14,15,85.16
14,16,52.36
14,17,15.89
14,18,46.71
14,19,47.78
15,0,64.78
15,1,23.71
15,2,55.22
15,3,30.64
15,4,88.94
15,5,59.58
15,6,30.3
15,7,86.13
15,8,78.67
15,9,63.29
15,10,29.5
15,11,90.7
15,12,77.54
15,13,23.16
15,14,114.44
15,16,49.83
15,17,73.14
15,18,35.69
15,19,84.8
16,0,58.28
16,1,77.66
16,2,15.5
16,3,96.04
16,4,30.71
16,5,19.95
16,6,32.06
16,7,17.59
16,8,70.86
16,9,67.3
16,10,50.07
16,11,38.03
16,12,27.69
16,13,59.39
16,14,72.78
16,15,46.08
16,17,37.12
16,18,60.71
16,19,44.59
17,0,15.99
17,1,42.88
17,2,55.13
17,3,79.05
17,4,56.11
17,5,28.86
17,6,50.97
17,7,44.03
17,8,10.86
17,9,36.45
17,10,64.75
17,11,19.04
17,12,60.62
17,13,37.04
17,14,22.99
17,15,95.31
17,16,58.59
17,18,45.36
17,19,60.65
18,0,59.41
18,1,21.43
18,2,53.15
18,3,29.21
18,4,97.84
18,5,37.14
18,6,38.25
18,7,87.13
18,8,28.27
18,9,15.02
18,10,58.36
18,11,41.64
18,12,72.48
18,13,17.05
18,14,66.9
18,15,51.2
18,16,54.55
18,17,46.16
18,19,72.5
19,0,32.4
19,1,89.07
19,2,56.64
19,3,129.22
19,4,28.87
19,5,42.23
19,6,78.34
19,7,17.32
19,8,59.48
19,9,66.13
19,10,93.67
19,11,19.2
19,12,45.92
19,13,95.21
19,14,55.95
19,15,84.45
19,16,42.17
19,17,36.57
19,18,61.18
